Timestamp,ADC Value,Conductance (µS),Filtered_Conductance,Label
2024-11-26 14:00:57.837884,387,0.8010271752345136,0.7546462060529381,Normal
2024-11-26 14:00:58.838724,388,0.7989626887001676,0.7868720809812267,Normal
2024-11-26 14:00:59.839349,360,0.8611036960515062,0.8168801634186091,Normal
2024-11-26 14:01:00.839971,436,0.7110041190074107,0.8447423177023593,Normal
2024-11-26 14:01:01.840563,377,0.8222744057011733,0.8705304081697516,Normal
2024-11-26 14:01:02.841138,340,0.9117563928093596,0.89431629915806,Normal
2024-11-26 14:01:03.841696,291,1.0652807478683215,0.9161718550045587,Normal
2024-11-26 14:01:04.842293,361,0.8587183877368365,0.936168940046522,Normal
2024-11-26 14:01:05.842871,366,0.8469873615824565,0.9543794186212238,Normal
2024-11-26 14:01:06.843439,320,0.968740615325289,0.9708751550659386,Normal
2024-11-26 14:01:07.844007,287,1.0801277059376713,0.9857280137179403,Normal
2024-11-26 14:01:08.844638,285,1.0877074670415867,0.9990098589145031,Normal
2024-11-26 14:01:09.845523,324,0.9567809690709748,1.0107925549929013,Normal
2024-11-26 14:01:10.846119,311,0.9967746302207277,1.0211479662904088,Normal
2024-11-26 14:01:11.846698,316,0.9810030344639024,1.0301479571443,Normal
2024-11-26 14:01:12.847251,308,1.0064833763036802,1.037864391891849,Normal
2024-11-26 14:01:13.847821,316,0.9810030344639024,1.04436913487033,Normal
2024-11-26 14:01:14.848466,262,1.18319210726896,1.049734050417017,Normal
2024-11-26 14:01:15.849333,292,1.0616325648597569,1.0540310028691842,Normal
2024-11-26 14:01:16.849903,296,1.0472863290958778,1.0573318565641059,Normal
2024-11-26 14:01:17.850479,289,1.072652853896723,1.0597084758390563,Normal
2024-11-26 14:01:18.851052,283,1.0953943614045218,1.0612327250313092,Normal
2024-11-26 14:01:19.851628,292,1.0616325648597569,1.0619764684781392,Normal
2024-11-26 14:01:20.852281,307,1.0097617906789869,1.06201157051682,Normal
2024-11-26 14:01:21.853141,290,1.0689540904907568,1.0614098954846263,Normal
2024-11-26 14:01:22.853716,292,1.0616325648597569,1.0602433077188123,Normal
2024-11-26 14:01:23.854292,300,1.0333226556658914,1.0603279736686877,Normal
2024-11-26 14:01:24.854863,277,1.1191210495478212,1.0606796011509798,Normal
2024-11-26 14:01:25.855457,287,1.0801277059376713,1.063477818689799,Normal
2024-11-26 14:01:26.856109,290,1.0689540904907568,1.0584529860727143,Normal
2024-11-26 14:01:27.856904,282,1.0992786958724925,1.0545995447542167,Normal
2024-11-26 14:01:28.857475,315,0.9841172991630877,1.0525460758981249,Normal
2024-11-26 14:01:29.858181,314,0.9872513997473272,1.0548398424310548,Normal
2024-11-26 14:01:30.858753,312,0.9935798714820462,1.050862771677503,Normal
2024-11-26 14:01:31.859322,288,1.0763773028831982,1.045979257043752,Normal
2024-11-26 14:01:32.859992,275,1.1272600199779568,1.0447322193835473,Normal
2024-11-26 14:01:33.860787,317,0.977908417930298,1.046143983246066,Normal
2024-11-26 14:01:34.861358,316,0.9810030344639024,1.0472221927461958,Normal
2024-11-26 14:01:35.861944,316,0.9810030344639024,1.044267129114551,Normal
2024-11-26 14:01:36.862521,314,0.9872513997473272,1.0407074598419532,Normal
2024-11-26 14:01:37.863098,307,1.0097617906789869,1.0363480789541306,Normal
2024-11-26 14:01:38.863712,310,0.9999900000999988,1.0325806438545257,Normal
2024-11-26 14:01:39.864540,291,1.0652807478683215,1.027515412223259,Normal
2024-11-26 14:01:40.865113,291,1.0652807478683215,1.0284848232881911,Normal
2024-11-26 14:01:41.865696,288,1.0763773028831982,1.0258681100614884,Normal
2024-11-26 14:01:42.866289,290,1.0689540904907568,1.0227789143525514,Normal
2024-11-26 14:01:43.866880,292,1.0616325648597569,1.022007433439928,Normal
2024-11-26 14:01:44.867497,309,1.0032261812260137,1.0208914192846323,Normal
2024-11-26 14:01:45.868345,311,0.9967746302207277,1.019091939689941,Normal
2024-11-26 14:01:46.868916,302,1.0264795295147633,1.015726653223233,Normal
2024-11-26 14:01:47.869499,287,1.0801277059376713,1.0131610136868714,Normal
2024-11-26 14:01:48.870089,293,1.0580092838608193,1.0120233669736343,Normal
2024-11-26 14:01:49.870670,307,1.0097617906789869,1.0105195048034907,Normal
2024-11-26 14:01:50.871285,328,0.9451130187489084,1.009538994028859,Normal
2024-11-26 14:01:51.872130,308,1.0064833763036802,1.0077282726352352,Normal
2024-11-26 14:01:52.872748,302,1.0264795295147633,1.005903717682527,Normal
2024-11-26 14:01:53.873331,303,1.0230918429547422,1.0058136795227008,Normal
2024-11-26 14:01:54.873968,304,1.0197264435790294,1.0019907552476628,Normal
2024-11-26 14:01:55.874546,307,1.0097617906789869,0.9996742433790675,Normal
2024-11-26 14:01:56.875160,314,0.9872513997473272,0.9958907987500922,Normal
2024-11-26 14:01:57.875953,327,0.9480032452291738,0.9947033902627684,Normal
2024-11-26 14:01:58.876525,326,0.950911202991628,0.9953148324600682,Normal
2024-11-26 14:01:59.877119,321,0.9657227609328384,0.9918060739415526,Normal
2024-11-26 14:02:00.877687,324,0.9567809690709748,0.9892786901946783,Normal
2024-11-26 14:02:01.878274,311,0.9967746302207277,0.9875037554603356,Normal
2024-11-26 14:02:02.878914,312,0.9935798714820462,0.9835183841046091,Normal
2024-11-26 14:02:03.879758,315,0.9841172991630877,0.9810315706007294,Normal
2024-11-26 14:02:04.880356,314,0.9872513997473272,0.9783400281771986,Normal
2024-11-26 14:02:05.880954,314,0.9872513997473272,0.9779239620967616,Normal
