Timestamp,ADC Value,Conductance (µS)
2024-11-26 13:37:51.536387,248,1.2499843751953101
2024-11-26 13:37:52.537356,241,1.2862905082963665
2024-11-26 13:37:53.538092,242,1.2809753263491255
2024-11-26 13:37:54.538713,239,1.2970543059901736
2024-11-26 13:37:55.539300,238,1.302504043014566
2024-11-26 13:37:56.540065,228,1.3596306366009936
2024-11-26 13:37:57.540765,236,1.313542067879617
2024-11-26 13:37:58.541376,222,1.3963768974397206
2024-11-26 13:37:59.541954,214,1.4485771467796495
2024-11-26 13:38:00.542520,215,1.4418396758000234
2024-11-26 13:38:01.543156,222,1.3963768974397206
2024-11-26 13:38:02.544022,235,1.319131534860604
2024-11-26 13:38:03.544829,219,1.4155050773253897
2024-11-26 13:38:04.545397,220,1.4090710539987845
2024-11-26 13:38:05.545961,221,1.4026952563108845
2024-11-26 13:38:06.546526,210,1.476168685128934
2024-11-26 13:38:07.547104,214,1.4485771467796495
2024-11-26 13:38:08.547675,220,1.4090710539987845
2024-11-26 13:38:09.548329,206,1.5048317234061044
2024-11-26 13:38:10.548903,213,1.4553778794768717
2024-11-26 13:38:11.549473,214,1.4485771467796495
2024-11-26 13:38:12.550050,559,0.5545586419824864
2024-11-26 13:38:13.550653,226,1.3716626010882154
2024-11-26 13:38:14.551365,288,1.0763773028831982
2024-11-26 13:38:15.552320,231,1.3419733328254038
2024-11-26 13:38:16.553078,230,1.3478079208497624
2024-11-26 13:38:17.553830,229,1.353693465284968
2024-11-26 13:38:18.554582,230,1.3478079208497624
2024-11-26 13:38:19.555350,239,1.2970543059901736
2024-11-26 13:38:20.555921,244,1.2704756619895405
2024-11-26 13:38:21.556518,232,1.33618904230159
2024-11-26 13:38:22.557112,231,1.3419733328254038
2024-11-26 13:38:23.557688,232,1.33618904230159
2024-11-26 13:38:24.558546,179,1.7318135831167172
2024-11-26 13:38:25.559160,229,1.353693465284968
2024-11-26 13:38:26.559925,240,1.2916499828543881
2024-11-26 13:38:27.560759,222,1.3963768974397206
2024-11-26 13:38:28.561336,218,1.4219981275495623
2024-11-26 13:38:29.561926,217,1.4285510206997045
2024-11-26 13:38:30.562509,211,1.469172727794047
2024-11-26 13:38:31.563085,218,1.4219981275495623
2024-11-26 13:38:32.563659,234,1.3247687744307663
2024-11-26 13:38:33.564278,216,1.4351645879156365
2024-11-26 13:38:34.564850,218,1.4219981275495623
2024-11-26 13:38:35.565427,217,1.4285510206997045
2024-11-26 13:38:36.566000,217,1.4285510206997045
2024-11-26 13:38:37.566577,221,1.4026952563108845
2024-11-26 13:38:38.571236,229,1.353693465284968
2024-11-26 13:38:39.571884,212,1.4622427690915845
2024-11-26 13:38:40.572462,212,1.4622427690915845
2024-11-26 13:38:41.573042,212,1.4622427690915845
2024-11-26 13:38:42.576087,210,1.476168685128934
2024-11-26 13:38:43.576906,213,1.4553778794768717
2024-11-26 13:38:44.577485,228,1.3596306366009936
2024-11-26 13:38:45.578074,211,1.469172727794047
2024-11-26 13:38:46.578649,208,1.4903624032526441
