Timestamp,ADC Value,Conductance (µS),Filtered_Conductance,Label
2024-11-20 16:37:14.657094,451,0.6873566944440072,0.6888167214951809,Stres Sedang
2024-11-20 16:37:15.658325,444,0.6981933234249942,0.7000281626402615,Stres Sedang
2024-11-20 16:37:16.659038,390,0.7948654767103133,0.7099739564336339,Stres Sedang
2024-11-20 16:37:17.659659,448,0.6919594976016907,0.7187123022004683,Stres Sedang
2024-11-20 16:37:18.660283,444,0.6981933234249942,0.726301399265935,Stres Sedang
2024-11-20 16:37:19.660873,394,0.7867958399312087,0.7327994469552039,Stres Sedang
2024-11-20 16:37:20.661655,448,0.6919594976016907,0.7382646445934454,Stres Sedang
2024-11-20 16:37:21.662380,447,0.6935074946907527,0.7427551915058295,Stres Sedang
2024-11-20 16:37:22.662977,446,0.6950624334225479,0.7463292870175265,Stres Sedang
2024-11-20 16:37:23.663769,352,0.8806740622454745,0.7490451304537065,Stres Sedang
2024-11-20 16:37:24.664404,447,0.6935074946907527,0.7509609211395396,Stres Sedang
2024-11-20 16:37:25.665245,437,0.7093771188350837,0.7521348584001961,Stres Sedang
2024-11-20 16:37:26.666073,440,0.7045404907374515,0.7526251415608461,Stres Sedang
2024-11-20 16:37:27.666888,453,0.6843220278183527,0.7524899699466598,Stres Sedang
2024-11-20 16:37:28.667496,331,0.9365471199514446,0.7517875428828074,Stres Sedang
2024-11-20 16:37:29.668159,386,0.8031023585043747,0.7505760596944588,Stres Sedang
2024-11-20 16:37:30.668767,388,0.7989626887001676,0.7489137197067844,Stres Sedang
2024-11-20 16:37:31.669358,454,0.6828147208686461,0.7468587222449544,Stres Sedang
2024-11-20 16:37:32.669956,454,0.6828147208686461,0.7444692666341388,Stres Sedang
2024-11-20 16:37:33.670686,454,0.6828147208686461,0.741803552199508,Stres Sedang
2024-11-20 16:37:34.671833,447,0.6935074946907527,0.738919778266232,Stres Sedang
2024-11-20 16:37:35.672432,434,0.7142806122813409,0.7358761441594809,Stres Sedang
2024-11-20 16:37:36.673017,438,0.7077575478347071,0.732730849204425,Stres Sedang
2024-11-20 16:37:37.673796,448,0.6919594976016907,0.7295420927262345,Stres Sedang
2024-11-20 16:37:38.674385,438,0.7077575478347071,0.7263680740500793,Stres Sedang
2024-11-20 16:37:39.674976,433,0.715930209275638,0.7232669925011161,Stres Sedang
2024-11-20 16:37:40.675581,437,0.7093771188350837,0.7257442445336929,Stres Sedang
2024-11-20 16:37:41.676198,411,0.754252218535578,0.7275032807491599,Stres Sedang
2024-11-20 16:37:42.676934,403,0.7692248521165223,0.7314508577814216,Stres Sedang
2024-11-20 16:37:43.678174,321,0.9657227609328384,0.7275072878373858,Stres Sedang
2024-11-20 16:37:44.679191,460,0.6739085019209653,0.7290978229792798,Stres Sedang
2024-11-20 16:37:45.679792,445,0.6966243605943419,0.7336621054582414,Stres Sedang
2024-11-20 16:37:46.680402,380,0.815782818613848,0.7332203280187283,Stres Sedang
2024-11-20 16:37:47.681121,448,0.6919594976016907,0.7265990356781147,Stres Sedang
2024-11-20 16:37:48.681843,405,0.7654262399472992,0.7214079479959619,Stres Sedang
2024-11-20 16:37:49.682436,451,0.6873566944440072,0.7225416954920254,Stres Sedang
2024-11-20 16:37:50.683062,450,0.6888841432425687,0.7246139966554674,Stres Sedang
2024-11-20 16:37:51.683803,453,0.6843220278183527,0.728739152470562,Stres Sedang
2024-11-20 16:37:52.684584,450,0.6888841432425687,0.732553882443865,Stres Sedang
2024-11-20 16:37:53.685249,461,0.6724466711829052,0.7349135342316238,Stres Sedang
2024-11-20 16:37:54.686055,460,0.6739085019209653,0.7439631136263566,Stres Sedang
2024-11-20 16:37:55.689655,464,0.6680989846835076,0.7494454822240525,Stres Sedang
2024-11-20 16:37:56.691803,455,0.6813140393988524,0.7540299967420386,Stres Sedang
2024-11-20 16:37:57.692390,334,0.9281350981472926,0.7533354484861343,Stres Sedang
2024-11-20 16:37:58.693257,440,0.7045404907374515,0.7537576939062187,Stres Sedang
2024-11-20 16:37:59.696420,455,0.6813140393988524,0.7527930197491245,Stres Sedang
2024-11-20 16:38:00.697918,430,0.7209250351916067,0.7508076149440169,Stres Sedang
2024-11-20 16:38:01.698512,428,0.7242938193671962,0.7497281358015581,Stres Sedang
2024-11-20 16:38:02.699086,372,0.8333263889467588,0.7473657854293756,Stres Sedang
2024-11-20 16:38:03.699695,348,0.8907966624435244,0.7424136507209214,Stres Sedang
2024-11-20 16:38:04.700819,340,0.9117563928093596,0.7386855783648375,Stres Sedang
2024-11-20 16:38:05.701459,475,0.6526273196953872,0.7344507085104538,Stres Sedang
2024-11-20 16:38:06.702672,467,0.6638071567405013,0.7274114116869786,Stres Sedang
2024-11-20 16:38:07.703290,459,0.6753767022488519,0.7233437927687021,Stres Sedang
2024-11-20 16:38:08.703953,366,0.8469873615824565,0.7193194034064795,Stres Sedang
2024-11-20 16:38:09.704540,469,0.6609764413071044,0.7221682538840176,Stres Sedang
2024-11-20 16:38:10.705633,490,0.6326490587508528,0.7179918593404948,Stres Sedang
2024-11-20 16:38:11.711563,446,0.6950624334225479,0.7145222836978115,Stres Sedang
2024-11-20 16:38:12.712639,340,0.9117563928093596,0.7128564777404773,Stres Sedang
2024-11-20 16:38:13.713401,349,0.8882442591484143,0.7087037145370539,Stres Sedang
2024-11-20 16:38:14.714364,345,0.8985426507761815,0.7062698753354141,Stres Sedang
2024-11-20 16:38:15.715147,443,0.6997693695597164,0.70066536809907,Stres Sedang
2024-11-20 16:38:16.715759,498,0.6224860849259775,0.6948446492652647,Stres Sedang
